id,player,rank,projectedPoints,positionRank,position,team
e57459d1-a8ea-4e55-909d-06b378e09b02,Stefon Diggs,79.6,125.2,WR45,WR,NE
f50101bc-fbfa-4a82-a625-c11c479cfbe8,Aaron Jones,83.8,171.3,RB26,RB,MIN
7eba46a1-1484-4352-b7f8-480163694c25,Brandon Aiyuk,84,140.9,WR46,WR,SF
5c510a1a-d9f3-47c5-8c7f-c9c7d0968dd5,Tony Pollard,84.4,165.8,RB27,RB,TEN
a41974fe-71b2-408e-847d-86405b104654,Emeka Egbuka,85,110,WR47,WR,TB
9df8f9e8-d362-46e0-be35-502442b747e6,Luther Burden,85.5,121.8,WR48,WR,CHI
4ddaf397-6424-4910-b9ec-49aef1d2b69a,T.J. Hockenson,86,141.8,TE5,TE,MIN
3a9a963f-6618-40ac-93c6-96ea04cb223f,Najee Harris,86.5,136.1,RB28,RB,LAC
12a4ad78-4491-4aa3-8373-0fa48356c7f7,Baker Mayfield,88.4,312.9,QB7,QB,TB
c8fd58f1-4635-46b0-9727-6cdd493a63a0,Tyrone Tracy,89.5,159.3,RB29,RB,NYG
c0c80e9d-fe68-441d-90d4-b5828752b9c7,Cooper Kupp,89.6,137.1,WR49,WR,SEA
2965705e-121c-4f6f-a67e-200c1f221343,Josh Downs,93.4,129.1,WR50,WR,IND
a6e88774-89df-4886-b850-16c63473fcbe,Caleb Williams,93.5,287.7,QB8,QB,CHI
017dad8b-5da7-4e17-a567-10e147fbb7c7,Kyler Murray,94.3,296.3,QB9,QB,ARI
eefaafc6-b10a-4794-a6dc-4233a1c2263f,Darnell Mooney,94.6,140.5,WR51,WR,ATL
bfa23971-1c74-42b7-a7da-cf3bb80a1355,Bo Nix,95.3,312.5,QB10,QB,DEN
c6ad3f37-27db-4232-99cc-aeed22777e85,Jonnu Smith,97,139.5,TE6,TE,MIA
d8c284a1-8746-41fc-bd8e-fbfb20bf2e92,Jaylen Warren,97.4,159.6,RB30,RB,PIT
45040fd6-c586-4f05-b4a5-35e32042f5c8,Cam Skattebo,99.9,100.4,RB31,RB,NYG
69a1328c-ef69-41a4-a9c6-9ef0f96179f0,Justin Fields,101.3,288.1,QB11,QB,NYJ
94224657-62c9-4238-86f2-ba2c07ce0e4b,D'Andre Swift,101.7,161,RB32,RB,CHI
bbd7c5bc-808f-4c97-80e1-6029515ff8bc,Travis Kelce,103.5,137.7,TE7,TE,KC
a9944d33-2618-448b-9dfb-73b9a43b1296,Brock Purdy,104.1,305.4,QB12,QB,SF
a889c484-29f2-47ac-805b-49691067644b,Jared Goff,104.2,298.5,QB13,QB,DET
467dd20b-81e4-42a3-837a-ed937702925e,Isiah Pacheco,106.4,161.5,RB33,RB,KC
d163492c-f926-4cb9-96fc-b93759e92541,Brian Robinson Jr.,106.7,150.4,RB34,RB,WAS
e35cb821-a7ae-41d8-a7c1-3fb43082b786,Christian Kirk,106.8,123.4,WR52,WR,HOU
f52f0cdf-de38-4cd9-a5c9-b54b2958ea05,Mark Andrews,106.9,138,TE8,TE,BAL
59cd0550-2714-465f-a640-99957e7fc514,Tyler Warren,107.6,108,TE9,TE,IND
1589e799-5723-4f51-a99a-817c1f5d9a61,Michael Pittman Jr.,109.2,127.8,WR53,WR,IND
85474863-13c5-412b-a5fd-cebdd1383524,Jordan Mason,110.1,120.6,RB35,RB,MIN
6f51ed2b-b312-4ac8-a02b-f791528ab5eb,Jayden Higgins,110.1,124.9,WR54,WR,HOU
8c7f9176-18b8-4f59-bc46-2c14a60bfed8,Rashid Shaheed,113.7,144.3,WR55,WR,NO
39526890-3152-4899-a948-99f0a9858b6f,Zach Charbonnet,113.9,112.9,RB36,RB,SEA
43e1dda1-d83d-4da9-a11a-e6c4b714e102,Evan Engram,116.3,117.1,TE10,TE,DEN
72f1fd78-4146-4527-8de9-823b13309425,Colston Loveland,116.3,107.9,TE10,TE,CHI
9a1d9082-34b9-40f4-8e3c-330caa3fa989,Rhamondre Stevenson,116.3,121.4,RB37,RB,NE
e7384056-0c8d-48b5-8ece-43a68ad9d200,Marvin Mims Jr.,116.4,139.1,WR56,WR,DEN
fb9df616-a7a2-4339-ab1a-b3e5dfd2278b,Travis Etienne Jr.,116.6,157.9,RB38,RB,JAC
37bd88b0-b695-4a09-a0e9-fc29f6c14dfd,Justin Herbert,117.2,283.8,QB14,QB,LAC
06bb179e-5f55-4679-9f0d-e94d1c5dff0c,Tre Harris,117.8,117,WR57,WR,LAC
1fd437b3-ec8a-40ff-af9b-bdeb9e195111,Drake Maye,117.8,286.3,QB15,QB,NE
a539369c-22ad-4d91-b5b9-a616d39018b8,Rashod Bateman,120.5,119.9,WR58,WR,BAL
d94128a2-2821-4fe3-95ee-ad6a026b85cb,Keon Coleman,121.2,125.2,WR59,WR,BUF
86d70c50-1438-435a-be56-17fc097d2763,Jordan Love,123.7,276.9,QB16,QB,GB
ae822ce4-b4ff-4b53-bf83-be036fe15dd2,Bhayshul Tuten,125.2,70.4,RB39,RB,JAC
96103fd4-acc7-4dba-adcf-ae140cf7d983,David Njoku,125.5,112.5,TE12,TE,CLE
2b703cdf-19c6-44bc-9061-11994c555ce9,Jalen McMillan,127.7,107.1,WR60,WR,TB
48dddfc4-9fbb-49f7-93ca-49b5bad5b640,Tucker Kraft,127.8,106.7,TE13,TE,GB
27c2ab08-d88c-427a-b0d3-cf0ba47af2f7,Hollywood Brown,128.7,108.2,WR61,WR,KC
d97eb184-b572-477a-98c8-e918a0bf1c66,C.J. Stroud,129.4,288.8,QB17,QB,HOU
1a3c579b-489d-476c-8e92-96396daccfa2,Dak Prescott,130.6,281.7,QB18,QB,DAL
01b46905-02f2-4016-a320-7cc36b5d1afc,Trevor Lawrence,131.7,281.9,QB19,QB,JAC
78a6939e-5faf-45ed-98f2-674a84e65045,J.J. McCarthy,133.2,288.4,QB20,QB,MIN
af512904-a1c9-4f40-ac9b-3f04329bc6b8,Javonte Williams,134.7,142.8,RB40,RB,DAL
8e3162f9-5b76-46e8-b189-777db6212f8b,Dalton Kincaid,135.7,109.9,TE14,TE,BUF
427d8203-aea8-4b01-972f-039aa0baa0c3,Isaiah Likely,135.8,105.8,TE15,TE,BAL
d1bb13ec-b37e-420c-b9f5-e76698cb6b2b,Kyle Williams,138.1,0,WR62,WR,NE
76809c5a-f06d-479a-a218-f22ee3e13a83,Tyjae Spears,138.9,107.8,RB41,RB,TEN
91edd6d6-bd65-4571-8713-41fc3cd2eb92,Tank Bigsby,139.5,100.2,RB42,RB,JAC
5336c84a-59d1-4502-b26c-a9a7a5683195,Jake Ferguson,141,122.3,TE16,TE,DAL
a6b061d0-7d58-45b0-8539-c0dd60cb26f9,Michael Penix,141.7,256.2,QB21,QB,ATL
9ee85b14-7fae-4772-b58f-fa2922f230ef,Trey Benson,142.5,89.5,RB43,RB,ARI
3506f452-2e97-46e6-be4b-e79fed5b3491,Jack Bech,145.2,112.6,WR63,WR,LV
82b3392d-0403-4cc7-9adc-8881b1647655,Quentin Johnston,145.7,103.3,WR64,WR,LAC
5517771d-f8e5-4ab2-b023-c06057b9d12a,Isaac Guerendo,146.2,85.5,RB44,RB,SF
315ad6ba-764f-4118-9deb-03720308a0c2,Dallas Goedert,146.8,118.4,TE17,TE,PHI
a18e7872-b3df-4c74-8130-feb720a928c1,Xavier Legette,148.6,86.9,WR65,WR,CAR
bfd060c8-dfa0-43d4-beb2-6f3e5b9df69e,Tua Tagovailoa,149.7,254.4,QB22,QB,MIA
baf94a12-0921-4655-9b10-12b59b77c57c,Kyle Pitts,150.1,96.1,TE18,TE,ATL
032a165a-b343-4c8f-a56f-8fc47d2a4a07,Dylan Sampson,151.7,75.4,RB45,RB,CLE
216c2a61-381c-4520-a163-a8af32943fb9,Ray Davis,152.5,102.1,RB46,RB,BUF
3dbcda8c-adc6-4d3e-9ed8-12b7581aa0ba,Jaylin Noel,152.7,76.6,WR66,WR,HOU
ff6b158c-6ff5-45c7-879e-32086288c5fb,Cam Ward,153.1,258.4,QB23,QB,TEN
c27b2fd7-45a7-409c-9973-3346fd3062fc,Romeo Doubs,154.2,92.3,WR67,WR,GB
50be3583-2a3d-455a-91ce-ba6959783642,Matthew Stafford,157,246.9,QB24,QB,LA
9012f171-568e-4292-94ba-f4b308eac941,Rachaad White,157.3,85.6,RB47,RB,TB
04c979d6-83b7-40dc-83fc-ed4db79ce5f9,Bryce Young,157.5,256.2,QB25,QB,CAR
1cc825d2-4975-4afe-a47d-b69f0e57cbc1,Adam Thielen,158.1,117.3,WR68,WR,CAR
6dc7832f-45d2-4ae6-8c6a-3595e185a18e,Joshua Palmer,160.5,108.9,WR69,WR,BUF
8086a0ab-51d0-4510-af6e-34603b9ad807,Keenan Allen,162,0,WR70,WR,
be28ffd2-9c10-44fd-937a-0dd5fa9f22c9,Cedric Tillman,162.6,91.2,WR71,WR,CLE
00403734-5e69-424c-974e-ceefbc335618,Tyler Allgeier,162.6,97.8,RB48,RB,ATL
2f6b0b7d-b3fe-46e5-b7ef-c84495f0e78a,Geno Smith,162.7,253.8,QB26,QB,LV
951df6a2-c1b0-499f-819e-67798c2cc6a2,Brenton Strange,163.6,89.7,TE19,TE,JAC
47a14de7-342a-4a2d-b5ea-2e4cca880e67,Jerome Ford,164.3,83.3,RB49,RB,CLE
e4a0d065-ce78-4bf8-8e8e-ecce74e7e30c,Jaydon Blue,166.6,66.2,RB50,RB,DAL
